"","file","branch","model","predictors","accuracy"
"227",0,6,"NaiveBayes","ip+app+device+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.0193711906342405
"228",0,7,"Logistic Regression","ip",0.711873080859775
"229",0,7,"LDA","ip",0.72517911975435
"230",0,7,"QDA","ip",0.741555783009212
"231",0,7,"SVM","ip",0.72517911975435
"232",0,7,"NaiveBayes","ip",0.460593654042989
"233",0,7,"Logistic Regression","ip+device",0.724667349027636
"234",0,7,"LDA","ip+device",0.724667349027636
"235",0,7,"QDA","ip+device",0.591095189355169
"236",0,7,"SVM","ip+device",0.724667349027636
"237",0,7,"NaiveBayes","ip+device",0.460593654042989
"238",0,7,"Logistic Regression","device+channel+channel_ip",0.747185261003071
"239",0,7,"LDA","device+channel+channel_ip",0.747185261003071
"240",0,7,"QDA","device+channel+channel_ip",0.591095189355169
"241",0,7,"SVM","device+channel+channel_ip",0.747185261003071
"242",0,7,"NaiveBayes","device+channel+channel_ip",0.460593654042989
"243",0,7,"Logistic Regression","device+channel+channel_ip+channel_ip_app",0.748720573183214
"244",0,7,"LDA","device+channel+channel_ip+channel_ip_app",0.749744114636643
"245",0,7,"QDA","device+channel+channel_ip+channel_ip_app",0.591606960081883
"246",0,7,"SVM","device+channel+channel_ip+channel_ip_app",0.749744114636643
"247",0,7,"NaiveBayes","device+channel+channel_ip+channel_ip_app",0.460593654042989
"248",0,7,"Logistic Regression","device+os+channel+channel_ip+channel_ip_app",0.752302968270215
"249",0,7,"LDA","device+os+channel+channel_ip+channel_ip_app",0.752302968270215
"250",0,7,"QDA","device+os+channel+channel_ip+channel_ip_app",0.654042988741044
"251",0,7,"SVM","device+os+channel+channel_ip+channel_ip_app",0.752302968270215
"252",0,7,"NaiveBayes","device+os+channel+channel_ip+channel_ip_app",0.460593654042989
"253",0,7,"Logistic Regression","device+os+channel+hour+channel_ip+channel_ip_app",0.747185261003071
"254",0,7,"LDA","device+os+channel+hour+channel_ip+channel_ip_app",0.748720573183214
"255",0,7,"QDA","device+os+channel+hour+channel_ip+channel_ip_app",0.652507676560901
"256",0,7,"SVM","device+os+channel+hour+channel_ip+channel_ip_app",0.748720573183214
"257",0,7,"NaiveBayes","device+os+channel+hour+channel_ip+channel_ip_app",0.460593654042989
"258",0,7,"Logistic Regression","app+device+os+channel+hour+channel_ip+channel_ip_app",0.751791197543501
"259",0,7,"LDA","app+device+os+channel+hour+channel_ip+channel_ip_app",0.751279426816786
"260",0,7,"QDA","app+device+os+channel+hour+channel_ip+channel_ip_app",0.636131013306039
"261",0,7,"SVM","app+device+os+channel+hour+channel_ip+channel_ip_app",0.750767656090072
"262",0,7,"NaiveBayes","app+device+os+channel+hour+channel_ip+channel_ip_app",0.460593654042989
"263",0,7,"Logistic Regression","app+device+os+channel+hour+channel_app+channel_ip+channel_ip_app",0.752814738996929
"264",0,7,"LDA","app+device+os+channel+hour+channel_app+channel_ip+channel_ip_app",0.750255885363357
"265",0,7,"QDA","app+device+os+channel+hour+channel_app+channel_ip+channel_ip_app",0.654554759467758
"266",0,7,"SVM","app+device+os+channel+hour+channel_app+channel_ip+channel_ip_app",0.749744114636643
"267",0,7,"NaiveBayes","app+device+os+channel+hour+channel_app+channel_ip+channel_ip_app",0.460593654042989
"268",1,1,"Logistic Regression","channel_ip",0.828580190125728
"269",1,1,"LDA","channel_ip",0.832566697332107
"270",1,1,"QDA","channel_ip",0.835326586936523
"271",1,1,"SVM","channel_ip",0.831340079730144
"272",1,1,"NaiveBayes","channel_ip",0.831340079730144
"273",1,1,"Logistic Regression","channel_ip+channel_ip_app",0.850965961361546
"274",1,1,"LDA","channel_ip+channel_ip_app",0.84851272615762
"275",1,1,"QDA","channel_ip+channel_ip_app",0.840233057344373
"276",1,1,"SVM","channel_ip+channel_ip_app",0.849739343759583
"277",1,1,"NaiveBayes","channel_ip+channel_ip_app",0.831340079730144
"278",1,1,"Logistic Regression","device+channel_ip+channel_ip_app",0.849126034958602
"279",1,1,"LDA","device+channel_ip+channel_ip_app",0.848819380558111
"280",1,1,"QDA","device+channel_ip+channel_ip_app",0.785955228457528
"281",1,1,"SVM","device+channel_ip+channel_ip_app",0.849739343759583
"282",1,1,"NaiveBayes","device+channel_ip+channel_ip_app",0.831340079730144
"283",1,1,"Logistic Regression","device+channel+channel_ip+channel_ip_app",0.850045998160074
"284",1,1,"LDA","device+channel+channel_ip+channel_ip_app",0.849126034958602
"285",1,1,"QDA","device+channel+channel_ip+channel_ip_app",0.754676479607482
"286",1,1,"SVM","device+channel+channel_ip+channel_ip_app",0.850352652560564
"287",1,1,"NaiveBayes","device+channel+channel_ip+channel_ip_app",0.831340079730144
"288",1,1,"Logistic Regression","ip+device+channel+channel_ip+channel_ip_app",0.850659306961055
"289",1,1,"LDA","ip+device+channel+channel_ip+channel_ip_app",0.850965961361546
"290",1,1,"QDA","ip+device+channel+channel_ip+channel_ip_app",0.680159460288255
"291",1,1,"SVM","ip+device+channel+channel_ip+channel_ip_app",0.849739343759583
"292",1,1,"NaiveBayes","ip+device+channel+channel_ip+channel_ip_app",0.831340079730144
"293",1,1,"Logistic Regression","ip+device+channel+channel_app+channel_ip+channel_ip_app",0.850352652560564
"294",1,1,"LDA","ip+device+channel+channel_app+channel_ip+channel_ip_app",0.850965961361546
"295",1,1,"QDA","ip+device+channel+channel_app+channel_ip+channel_ip_app",0.733210671573137
"296",1,1,"SVM","ip+device+channel+channel_app+channel_ip+channel_ip_app",0.850045998160074
"297",1,1,"NaiveBayes","ip+device+channel+channel_app+channel_ip+channel_ip_app",0.831340079730144
"298",1,1,"Logistic Regression","ip+device+os+channel+channel_app+channel_ip+channel_ip_app",0.850352652560564
"299",1,1,"LDA","ip+device+os+channel+channel_app+channel_ip+channel_ip_app",0.850659306961055
"300",1,1,"QDA","ip+device+os+channel+channel_app+channel_ip+channel_ip_app",0.773382398037412
"301",1,1,"SVM","ip+device+os+channel+channel_app+channel_ip+channel_ip_app",0.850659306961055
"302",1,1,"NaiveBayes","ip+device+os+channel+channel_app+channel_ip+channel_ip_app",0.831340079730144
"303",1,1,"Logistic Regression","ip+app+device+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.850045998160074
"304",1,1,"LDA","ip+app+device+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.850659306961055
"305",1,1,"QDA","ip+app+device+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.416436675866299
"306",1,1,"SVM","ip+app+device+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.850045998160074
"307",1,1,"NaiveBayes","ip+app+device+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.831340079730144
"308",1,2,"Logistic Regression","channel_ip",0.988411588411588
"309",1,2,"LDA","channel_ip",0.988411588411588
