"","file","branch","model","predictors","accuracy","TP","FN","FP","TN","accuracy_cMatrix"
"134",0,4,"LDA","ip+device+channel+channel_ip_app",0.986873728970235,142,0,10676,0,0.986873728970235
"135",0,4,"QDA","ip+device+channel+channel_ip_app",0.985117396931041,142,0,10657,19,0.985117396931041
"136",0,4,"SVM","ip+device+channel+channel_ip_app",0.986873728970235,142,0,10676,0,0.986873728970235
"137",0,4,"NaiveBayes","ip+device+channel+channel_ip_app",0.0131262710297652,0,142,0,10676,0.0131262710297652
"138",0,4,"Logistic Regression","ip+device+os+channel+channel_ip",0.986873728970235,142,0,10676,0,0.986873728970235
"139",0,4,"LDA","ip+device+os+channel+channel_ip",0.986873728970235,142,0,10676,0,0.986873728970235
"140",0,4,"QDA","ip+device+os+channel+channel_ip",0.976982806433722,142,0,10569,107,0.976982806433722
"141",0,4,"SVM","ip+device+os+channel+channel_ip",0.986873728970235,142,0,10676,0,0.986873728970235
"142",0,4,"NaiveBayes","ip+device+os+channel+channel_ip",0.0131262710297652,0,142,0,10676,0.0131262710297652
"143",0,4,"Logistic Regression","ip+device+os+channel+hour+channel_ip",0.986873728970235,142,0,10676,0,0.986873728970235
"144",0,4,"LDA","ip+device+os+channel+hour+channel_ip",0.986873728970235,142,0,10676,0,0.986873728970235
"145",0,4,"QDA","ip+device+os+channel+hour+channel_ip",0.978276945831022,142,0,10583,93,0.978276945831022
"146",0,4,"SVM","ip+device+os+channel+hour+channel_ip",0.986873728970235,142,0,10676,0,0.986873728970235
"147",0,4,"NaiveBayes","ip+device+os+channel+hour+channel_ip",0.0131262710297652,0,142,0,10676,0.0131262710297652
"148",0,5,"Logistic Regression","channel",0.823083585967952,192,3562,239,625,0.823083585967952
"149",0,5,"LDA","channel",0.823300129926375,193,3561,241,623,0.823300129926375
"150",0,5,"QDA","channel",0.823300129926375,193,3561,241,623,0.823300129926375
"151",0,5,"SVM","channel",0.823083585967952,192,3562,239,625,0.823083585967952
"152",0,5,"NaiveBayes","channel",0.812906019922044,0,3754,0,864,0.812906019922044
"153",0,5,"Logistic Regression","channel+channel_ip_app",0.838458207016024,126,3628,244,620,0.838458207016024
"154",0,5,"LDA","channel+channel_ip_app",0.851883932438285,174,3580,354,510,0.851883932438285
"155",0,5,"QDA","channel+channel_ip_app",0.843222174101343,261,3493,401,463,0.843222174101343
"156",0,5,"SVM","channel+channel_ip_app",0.834993503681247,96,3658,198,666,0.834993503681247
"157",0,5,"NaiveBayes","channel+channel_ip_app",0.812906019922044,0,3754,0,864,0.812906019922044
"158",0,5,"Logistic Regression","channel+channel_ip+channel_ip_app",0.845171069727155,119,3635,268,596,0.845171069727155
"159",0,5,"LDA","channel+channel_ip+channel_ip_app",0.848852317020355,205,3549,371,493,0.848852317020355
"160",0,5,"QDA","channel+channel_ip+channel_ip_app",0.838674750974448,321,3433,440,424,0.838674750974448
"161",0,5,"SVM","channel+channel_ip+channel_ip_app",0.836076223473365,88,3666,195,669,0.836076223473365
"162",0,5,"NaiveBayes","channel+channel_ip+channel_ip_app",0.812906019922044,0,3754,0,864,0.812906019922044
"163",0,5,"Logistic Regression","channel+channel_app+channel_ip+channel_ip_app",0.852100476396708,162,3592,343,521,0.852100476396708
"164",0,5,"LDA","channel+channel_app+channel_ip+channel_ip_app",0.85036812472932,210,3544,383,481,0.85036812472932
"165",0,5,"QDA","channel+channel_app+channel_ip+channel_ip_app",0.841922910350801,295,3459,429,435,0.841922910350801
"166",0,5,"SVM","channel+channel_app+channel_ip+channel_ip_app",0.851017756604591,147,3607,323,541,0.851017756604591
"167",0,5,"NaiveBayes","channel+channel_app+channel_ip+channel_ip_app",0.812906019922044,0,3754,0,864,0.812906019922044
"168",0,5,"Logistic Regression","app+channel+channel_app+channel_ip+channel_ip_app",0.855132091814638,158,3596,353,511,0.855132091814638
"169",0,5,"LDA","app+channel+channel_app+channel_ip+channel_ip_app",0.851017756604591,194,3560,370,494,0.851017756604591
"170",0,5,"QDA","app+channel+channel_app+channel_ip+channel_ip_app",0.845171069727155,281,3473,430,434,0.845171069727155
"171",0,5,"SVM","app+channel+channel_app+channel_ip+channel_ip_app",0.851667388479861,155,3599,334,530,0.851667388479861
"172",0,5,"NaiveBayes","app+channel+channel_app+channel_ip+channel_ip_app",0.812906019922044,0,3754,0,864,0.812906019922044
"173",0,5,"Logistic Regression","app+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.855348635773062,158,3596,354,510,0.855348635773062
"174",0,5,"LDA","app+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.85339974014725,182,3572,369,495,0.85339974014725
"175",0,5,"QDA","app+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.84733650931139,267,3487,426,438,0.84733650931139
"176",0,5,"SVM","app+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.856214811606756,154,3600,354,510,0.856214811606756
"177",0,5,"NaiveBayes","app+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.812906019922044,0,3754,0,864,0.812906019922044
"178",0,5,"Logistic Regression","ip+app+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.855781723689909,158,3596,356,508,0.855781723689909
"179",0,5,"LDA","ip+app+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.854265915980944,183,3571,374,490,0.854265915980944
"180",0,5,"QDA","ip+app+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.849718492854049,249,3505,419,445,0.849718492854049
"181",0,5,"SVM","ip+app+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.854699003897791,153,3601,346,518,0.854699003897791
"182",0,5,"NaiveBayes","ip+app+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.812906019922044,0,3754,0,864,0.812906019922044
"183",0,5,"Logistic Regression","ip+app+channel+hour+ip_app+channel_app+channel_ip+channel_ip_app",0.854915547856215,160,3594,354,510,0.854915547856215
"184",0,5,"LDA","ip+app+channel+hour+ip_app+channel_app+channel_ip+channel_ip_app",0.853832828064097,184,3570,373,491,0.853832828064097
"185",0,5,"QDA","ip+app+channel+hour+ip_app+channel_app+channel_ip+channel_ip_app",0.849935036812473,248,3506,419,445,0.849935036812473
"186",0,5,"SVM","ip+app+channel+hour+ip_app+channel_app+channel_ip+channel_ip_app",0.854049372022521,155,3599,345,519,0.854049372022521
"187",0,5,"NaiveBayes","ip+app+channel+hour+ip_app+channel_app+channel_ip+channel_ip_app",0.812906019922044,0,3754,0,864,0.812906019922044
"188",0,6,"Logistic Regression","ip",0.980628809365759,321,0,16250,0,0.980628809365759
"189",0,6,"LDA","ip",0.980628809365759,321,0,16250,0,0.980628809365759
"190",0,6,"QDA","ip",0.980628809365759,321,0,16250,0,0.980628809365759
"191",0,6,"SVM","ip",0.980628809365759,321,0,16250,0,0.980628809365759
"192",0,6,"NaiveBayes","ip",0.0193711906342405,0,321,0,16250,0.0193711906342405
"193",0,6,"Logistic Regression","app+ip_app",0.980508116589222,320,1,16247,3,0.980508116589222
"194",0,6,"LDA","app+ip_app",0.977189065234446,309,12,16181,69,0.977189065234446
"195",0,6,"QDA","app+ip_app",0.969585420312594,277,44,16023,227,0.969585420312594
"196",0,6,"SVM","app+ip_app",0.980628809365759,321,0,16250,0,0.980628809365759
"197",0,6,"NaiveBayes","app+ip_app",0.0193711906342405,0,321,0,16250,0.0193711906342405
"198",0,6,"Logistic Regression","app+channel+channel_ip_app",0.980568462977491,320,1,16248,2,0.980568462977491
"199",0,6,"LDA","app+channel+channel_ip_app",0.978154607446744,313,8,16201,49,0.978154607446744
"200",0,6,"QDA","app+channel+channel_ip_app",0.971395811960654,281,40,16057,193,0.971395811960654
"201",0,6,"SVM","app+channel+channel_ip_app",0.980628809365759,321,0,16250,0,0.980628809365759
"202",0,6,"NaiveBayes","app+channel+channel_ip_app",0.0193711906342405,0,321,0,16250,0.0193711906342405
"203",0,6,"Logistic Regression","app+channel+ip_app+channel_app",0.980508116589222,319,2,16246,4,0.980508116589222
"204",0,6,"LDA","app+channel+ip_app+channel_app",0.977309758010983,302,19,16176,74,0.977309758010983
"205",0,6,"QDA","app+channel+ip_app+channel_app",0.966145676181281,263,58,15952,298,0.966145676181281
"206",0,6,"SVM","app+channel+ip_app+channel_app",0.980628809365759,321,0,16250,0,0.980628809365759
